employee_id,group,score
1,A,4.175134702
2,A,3.842356675
3,A,4.173378502
4,A,4.425978817
5,A,4.129316042
6,A,4.124355015
7,A,3.678804987
8,A,3.702259449
9,A,3.258436837
10,A,5
11,A,3.353682059
12,A,3.684256881
13,A,3.668955641
14,A,4.636954626
15,A,3.923030193
16,A,4.848645244
17,A,3.695905625
18,A,4.267396497
19,A,3.598791768
20,A,5
21,A,3.387440949
22,A,4.285892426
23,A,4.480266129
24,A,4.348279458
25,A,3.988827405
26,A,4.02210758
27,A,4.126286883
28,A,4.011798799
29,A,4.67832747
30,A,5
31,A,3.765504929
32,A,3.278118212
33,A,4.047030771
34,A,5
35,A,3.617795259
36,A,5
37,A,5
38,A,3.767847055
39,A,4.441389848
40,A,5
41,A,3.872523355
42,A,3.977851784
43,A,3.750991452
44,A,3.491145962
45,A,3.710433473
46,A,3.36563584
47,A,4.120450081
48,A,3.638016061
49,A,4.240271547
50,A,3.166462612
51,A,4.298528139
52,A,4.600117377
53,A,2.903758614
54,A,4.324433942
55,A,4.836601395
56,A,3.374215389
57,A,5
58,A,4.351411406
59,A,3.676992887
60,A,4.066538553
61,A,4.434996148
62,A,4.145603235
63,A,4.423253595
64,A,3.547595844
65,A,4.201616494
66,A,3.251771302
67,A,4.033264363
68,A,3.557655415
69,A,3.658682034
70,A,4.841655905
71,A,4.754786072
72,A,4.465482873
73,A,3.444612341
74,A,3.91015493
75,A,4.82785862
76,A,4.185030148
77,A,5
78,A,4.335990704
79,A,4.21522947
80,A,3.914530121
81,A,4.180124543
82,A,4.008518098
83,A,4.524865206
84,A,4.67402139
85,A,3.628406324
86,A,3.301260228
87,A,2.998276776
88,A,4.404794796
89,A,3.437980036
90,A,2.808265644
91,A,4.333147163
92,A,5
93,A,4.096357453
94,A,4.603094465
95,A,4.149097615
96,A,4.040666208
97,A,4.65144589
98,A,3.925835273
99,A,4.260435388
100,A,4.293018684
101,A,3.699145728
102,A,4.69522541
103,A,3.995024146
104,A,3.646552904
105,A,4.421905906
106,A,3.560919211
107,A,4.116908694
108,A,4.094528602
109,A,4.751537339
110,A,4.38481894
111,A,4.084983825
112,A,4.59065978
113,A,4.934124529
114,A,4.434686184
115,A,4.106211572
116,A,3.312898261
117,A,3.460931802
118,A,3.916865177
119,A,3.734292679
120,A,3.987817218
121,A,4.133989955
122,A,4.417815653
123,A,4.057700733
124,A,4.391900986
125,A,4.138684649
126,A,2.91472006
127,A,3.536398764
128,A,4.013547467
129,A,3.374183154
130,A,4.459957238
131,A,5
132,A,4.831257111
133,A,3.971934277
134,A,4.994435682
135,A,4.189200474
136,A,3.897748417
137,A,3.731958402
138,A,3.918518188
139,A,3.867093909
140,A,4.202249733
141,A,4.196344389
142,A,4.101827612
143,A,4.362162902
144,A,4.814387765
145,A,4.669732481
146,A,3.209061219
147,A,2.567647319
148,A,4.660591947
149,A,3.279872781
150,A,3.965140759
151,A,3.397932184
152,A,3.018811737
153,A,4.424877637
154,A,4.555493096
155,A,3.75409376
156,A,2.545374625
157,A,3.772253331
158,A,4.335082403
159,A,3.212653059
160,A,4.210015952
161,A,4.09081409
162,A,4.4475749
163,A,4.171748221
164,A,3.516158635
165,A,4.817942901
166,A,4.004882256
167,A,4.083617276
168,A,3.540039225
169,A,3.834030649
170,A,3.569118372
171,A,3.996232364
172,A,5
173,A,3.276859314
174,A,3.131863161
175,A,4.982702196
176,A,3.974405794
177,A,3.698556357
178,A,4.723942812
179,A,3.736630676
180,A,5
181,A,4.506755523
182,A,3.807253155
183,A,5
